target,feature,weight
total_pump_power_kw,pump_2_flow_m3h_lag2,1.5421691701433815e-15
total_pump_power_kw,pump_3_flow_m3h_lag2,1.6826817716975029e-15
total_pump_power_kw,pump_4_flow_m3h_lag2,2.0773313624822265e-15
total_pump_power_kw,tank_level_m3_lag3,-4.0245584642661925e-16
total_pump_power_kw,total_pump_power_kw_lag3,1.960237527853792e-16
total_pump_power_kw,pump_1_flow_m3h_lag3,-3.95516952522712e-16
total_pump_power_kw,pump_2_flow_m3h_lag3,-3.3306690738754696e-16
total_pump_power_kw,pump_3_flow_m3h_lag3,1.1102230246251565e-16
total_pump_power_kw,pump_4_flow_m3h_lag3,5.117434254131581e-16
total_pump_power_kw,tank_level_m3_lag4,9.71445146547012e-17
total_pump_power_kw,total_pump_power_kw_lag4,3.4416913763379853e-15
total_pump_power_kw,pump_1_flow_m3h_lag4,-1.734723475976807e-15
total_pump_power_kw,pump_2_flow_m3h_lag4,-1.887379141862766e-15
total_pump_power_kw,pump_3_flow_m3h_lag4,-1.857021481033172e-15
total_pump_power_kw,pump_4_flow_m3h_lag4,-1.9311809096311805e-15
total_pump_power_kw,tank_level_m3_lag5,-2.0469737016526324e-16
total_pump_power_kw,total_pump_power_kw_lag5,2.0018708912772354e-15
total_pump_power_kw,pump_1_flow_m3h_lag5,-1.0685896612017132e-15
total_pump_power_kw,pump_2_flow_m3h_lag5,-1.029558382992235e-15
total_pump_power_kw,pump_3_flow_m3h_lag5,-7.771561172376096e-16
total_pump_power_kw,pump_4_flow_m3h_lag5,-7.658804146437603e-16
total_pump_power_kw,tank_level_m3_lag6,2.706168622523819e-16
total_pump_power_kw,total_pump_power_kw_lag6,2.1649348980190553e-15
total_pump_power_kw,pump_1_flow_m3h_lag6,-5.880712583561376e-16
total_pump_power_kw,pump_2_flow_m3h_lag6,-7.294512216482474e-16
total_pump_power_kw,pump_3_flow_m3h_lag6,-8.630249292984615e-16
total_pump_power_kw,pump_4_flow_m3h_lag6,-6.817463260588852e-16
total_pump_power_kw,tank_level_m3_lag7,1.0755285551056204e-16
total_pump_power_kw,total_pump_power_kw_lag7,4.0072112295064244e-16
total_pump_power_kw,pump_1_flow_m3h_lag7,-4.714111045966973e-16
total_pump_power_kw,pump_2_flow_m3h_lag7,-3.5908775952719907e-16
total_pump_power_kw,pump_3_flow_m3h_lag7,-3.415236843329339e-18
total_pump_power_kw,pump_4_flow_m3h_lag7,8.196568423990414e-17
total_pump_power_kw,tank_level_m3_lag8,2.7668839441830073e-16
total_pump_power_kw,total_pump_power_kw_lag8,-2.5604518505417673e-15
total_pump_power_kw,pump_1_flow_m3h_lag8,9.52363188311267e-16
total_pump_power_kw,pump_2_flow_m3h_lag8,8.924068081728187e-16
total_pump_power_kw,pump_3_flow_m3h_lag8,1.0321604682062002e-15
total_pump_power_kw,pump_4_flow_m3h_lag8,1.096345236817342e-15
total_pump_power_kw,tank_level_m3_lag9,2.658463726934457e-16
total_pump_power_kw,total_pump_power_kw_lag9,-1.132557589378358e-15
total_pump_power_kw,pump_1_flow_m3h_lag9,3.5675672485635523e-16
total_pump_power_kw,pump_2_flow_m3h_lag9,-1.1709383462843448e-16
total_pump_power_kw,pump_3_flow_m3h_lag9,-1.3444106938820255e-16
total_pump_power_kw,pump_4_flow_m3h_lag9,-3.885780586188048e-16
total_pump_power_kw,tank_level_m3_lag10,-2.697495005143935e-16
total_pump_power_kw,total_pump_power_kw_lag10,-3.613429000459689e-15
total_pump_power_kw,pump_1_flow_m3h_lag10,1.781777850262678e-15
total_pump_power_kw,pump_2_flow_m3h_lag10,1.8986548444566154e-15
total_pump_power_kw,pump_3_flow_m3h_lag10,1.433748952894831e-15
total_pump_power_kw,pump_4_flow_m3h_lag10,1.7052331768852014e-15
total_pump_power_kw,tank_level_m3_lag11,-2.6194324487249787e-16
total_pump_power_kw,total_pump_power_kw_lag11,-2.3332030751888055e-15
total_pump_power_kw,pump_1_flow_m3h_lag11,1.2893332235197619e-15
total_pump_power_kw,pump_2_flow_m3h_lag11,9.861902960928148e-16
total_pump_power_kw,pump_3_flow_m3h_lag11,4.3194614551822497e-16
total_pump_power_kw,pump_4_flow_m3h_lag11,1.2364241575024693e-15
total_pump_power_kw,tank_level_m3_lag12,2.3332030751888055e-16
total_pump_power_kw,total_pump_power_kw_lag12,-1.012211148232467e-15
total_pump_power_kw,pump_1_flow_m3h_lag12,2.9549930211092423e-16
total_pump_power_kw,pump_2_flow_m3h_lag12,3.2916377956659915e-16
total_pump_power_kw,pump_3_flow_m3h_lag12,4.0158848468863084e-16
total_pump_power_kw,pump_4_flow_m3h_lag12,5.759281940243e-16
total_pump_power_kw,tank_level_m3_lag13,-4.163336342344337e-17
total_pump_power_kw,total_pump_power_kw_lag13,-7.7021722333370235e-16
total_pump_power_kw,pump_1_flow_m3h_lag13,-6.245004513516506e-17
total_pump_power_kw,pump_2_flow_m3h_lag13,3.963843142607004e-16
total_pump_power_kw,pump_3_flow_m3h_lag13,5.447031714567174e-16
total_pump_power_kw,pump_4_flow_m3h_lag13,7.13621869929959e-16
total_pump_power_kw,tank_level_m3_lag14,-6.245004513516506e-17
total_pump_power_kw,total_pump_power_kw_lag14,1.3235940121703038e-15
total_pump_power_kw,pump_1_flow_m3h_lag14,-7.112366251504909e-16
total_pump_power_kw,pump_2_flow_m3h_lag14,-5.247538514829841e-16
total_pump_power_kw,pump_3_flow_m3h_lag14,-1.1223660889569942e-15
total_pump_power_kw,pump_4_flow_m3h_lag14,-4.822531263215524e-16
total_pump_power_kw,tank_level_m3_lag15,-1.3791051634015616e-16
total_pump_power_kw,total_pump_power_kw_lag15,1.5135462327897642e-15
total_pump_power_kw,pump_1_flow_m3h_lag15,-1.0547118733938987e-15
total_pump_power_kw,pump_2_flow_m3h_lag15,-1.1639994523804376e-15
total_pump_power_kw,pump_3_flow_m3h_lag15,-1.0980799602933189e-15
total_pump_power_kw,pump_4_flow_m3h_lag15,-9.896597430447684e-16
total_pump_power_kw,tank_level_m3_lag16,-3.5648567431323386e-16
total_pump_power_kw,total_pump_power_kw_lag16,1.523954573645625e-15
total_pump_power_kw,pump_1_flow_m3h_lag16,-3.408731630294426e-16
total_pump_power_kw,pump_2_flow_m3h_lag16,-7.023461673361098e-16
total_pump_power_kw,pump_3_flow_m3h_lag16,-8.933825901280557e-17
total_pump_power_kw,pump_4_flow_m3h_lag16,1.2923689896027213e-16
total_pump_power_kw,tank_level_m3_lag17,5.358127136423363e-16
total_pump_power_kw,total_pump_power_kw_lag17,2.4251434194155763e-15
total_pump_power_kw,pump_1_flow_m3h_lag17,-1.2845627339608257e-15
total_pump_power_kw,pump_2_flow_m3h_lag17,-1.7694179454963432e-15
total_pump_power_kw,pump_3_flow_m3h_lag17,-1.2695871914533696e-15
total_pump_power_kw,pump_4_flow_m3h_lag17,-1.2021633688519273e-15
total_pump_power_kw,tank_level_m3_lag18,-2.502338614096544e-16
total_pump_power_kw,total_pump_power_kw_lag18,-2.14737082282479e-15
total_pump_power_kw,pump_1_flow_m3h_lag18,1.5508427875232655e-15
total_pump_power_kw,pump_2_flow_m3h_lag18,1.3611074073383023e-15
total_pump_power_kw,pump_3_flow_m3h_lag18,1.4519635493925875e-15
total_pump_power_kw,pump_4_flow_m3h_lag18,1.32836450172924e-15
total_pump_power_kw,tank_level_m3_lag19,3.382710778154774e-16
total_pump_power_kw,total_pump_power_kw_lag19,-3.1632682584437077e-15
total_pump_power_kw,pump_1_flow_m3h_lag19,2.3054474995731766e-15
total_pump_power_kw,pump_2_flow_m3h_lag19,2.1564781210736683e-15
total_pump_power_kw,pump_3_flow_m3h_lag19,1.56472057533108e-15
total_pump_power_kw,pump_4_flow_m3h_lag19,1.321859288694327e-15
total_pump_power_kw,tank_level_m3_lag20,-1.5439038936193583e-16
total_pump_power_kw,total_pump_power_kw_lag20,1.412064909445121e-15
total_pump_power_kw,pump_1_flow_m3h_lag20,-1.001802807376606e-15
total_pump_power_kw,pump_2_flow_m3h_lag20,-1.0564465968698755e-15
total_pump_power_kw,pump_3_flow_m3h_lag20,-1.2190769227427012e-15
total_pump_power_kw,pump_4_flow_m3h_lag20,-1.1145598333150986e-15
total_pump_power_kw,tank_level_m3_lag21,2.6020852139652106e-18
total_pump_power_kw,total_pump_power_kw_lag21,2.452031633293217e-15
total_pump_power_kw,pump_1_flow_m3h_lag21,-1.8405416080113923e-15
total_pump_power_kw,pump_2_flow_m3h_lag21,-1.8704655879719922e-15
total_pump_power_kw,pump_3_flow_m3h_lag21,-1.5759962779249292e-15
total_pump_power_kw,pump_4_flow_m3h_lag21,-1.3376886404126154e-15
total_pump_power_kw,tank_level_m3_lag22,-1.0224026486538307e-16
total_pump_power_kw,total_pump_power_kw_lag22,5.325601071248798e-16
total_pump_power_kw,pump_1_flow_m3h_lag22,-3.045930478326464e-16
total_pump_power_kw,pump_2_flow_m3h_lag22,-8.400398432417688e-16
total_pump_power_kw,pump_3_flow_m3h_lag22,-2.0469737016526324e-16
total_pump_power_kw,pump_4_flow_m3h_lag22,-1.8171228410857054e-16
total_pump_power_kw,tank_level_m3_lag23,1.4007892068512717e-16
total_pump_power_kw,total_pump_power_kw_lag23,1.6193643648243494e-15
total_pump_power_kw,pump_1_flow_m3h_lag23,-1.0304257447302234e-15
total_pump_power_kw,pump_2_flow_m3h_lag23,-4.787294692609745e-16
total_pump_power_kw,pump_3_flow_m3h_lag23,-6.123573870198129e-16
total_pump_power_kw,pump_4_flow_m3h_lag23,-3.720981855970251e-16
total_pump_power_kw,tank_level_m3_lag24,-7.719519468096792e-17
total_pump_power_kw,total_pump_power_kw_lag24,-1.9511302296049138e-15
total_pump_power_kw,pump_1_flow_m3h_lag24,1.695692197767329e-15
total_pump_power_kw,pump_2_flow_m3h_lag24,1.691355389077387e-15
total_pump_power_kw,pump_3_flow_m3h_lag24,1.4419888894057209e-15
total_pump_power_kw,pump_4_flow_m3h_lag24,1.6904880273393985e-15
total_pump_power_kw,outflow_m3h_current,-6.696032617270475e-16
total_pump_power_kw,pump_1_setpoint_percent_current,0.14999999999999997
total_pump_power_kw,pump_2_setpoint_percent_current,0.14999999999999986
total_pump_power_kw,pump_3_setpoint_percent_current,0.14999999999999983
total_pump_power_kw,pump_4_setpoint_percent_current,0.1499999999999999
total_pump_power_kw,intercept,3.375077994860476e-14
pump_1_flow_m3h,tank_level_m3_lag1,-0.006162967663758249
pump_1_flow_m3h,total_pump_power_kw_lag1,0.10871446263810453
pump_1_flow_m3h,pump_1_flow_m3h_lag1,-0.03392032422038649
pump_1_flow_m3h,pump_2_flow_m3h_lag1,-0.053427540079403
pump_1_flow_m3h,pump_3_flow_m3h_lag1,-0.0801833576749571
pump_1_flow_m3h,pump_4_flow_m3h_lag1,-0.07102581644207272
pump_1_flow_m3h,tank_level_m3_lag2,0.008328602852377145
pump_1_flow_m3h,total_pump_power_kw_lag2,-0.1374327467551629
pump_1_flow_m3h,pump_1_flow_m3h_lag2,0.09040372281252672
pump_1_flow_m3h,pump_2_flow_m3h_lag2,0.1228538473105639
pump_1_flow_m3h,pump_3_flow_m3h_lag2,0.08114389303079586
pump_1_flow_m3h,pump_4_flow_m3h_lag2,0.07654649795751578
pump_1_flow_m3h,tank_level_m3_lag3,0.00569677046394973
pump_1_flow_m3h,total_pump_power_kw_lag3,-0.27113765032955744
pump_1_flow_m3h,pump_1_flow_m3h_lag3,0.12950318015737727
pump_1_flow_m3h,pump_2_flow_m3h_lag3,0.15845890904993554
pump_1_flow_m3h,pump_3_flow_m3h_lag3,0.13703900663986157
pump_1_flow_m3h,pump_4_flow_m3h_lag3,0.1658927879144851
pump_1_flow_m3h,tank_level_m3_lag4,0.016938026832275962
pump_1_flow_m3h,total_pump_power_kw_lag4,-0.0011031924308571514
pump_1_flow_m3h,pump_1_flow_m3h_lag4,-0.00888643109183937
pump_1_flow_m3h,pump_2_flow_m3h_lag4,-0.0495993419307116
pump_1_flow_m3h,pump_3_flow_m3h_lag4,-0.0011086750165733295
pump_1_flow_m3h,pump_4_flow_m3h_lag4,-0.02700436200294701
pump_1_flow_m3h,tank_level_m3_lag5,-0.027611013504423708
pump_1_flow_m3h,total_pump_power_kw_lag5,-0.2524531755994208
pump_1_flow_m3h,pump_1_flow_m3h_lag5,0.15546301576887128
pump_1_flow_m3h,pump_2_flow_m3h_lag5,0.12898514761956517
pump_1_flow_m3h,pump_3_flow_m3h_lag5,0.1541391687862349
pump_1_flow_m3h,pump_4_flow_m3h_lag5,0.12021796063830739
pump_1_flow_m3h,tank_level_m3_lag6,-0.01639350218081158
pump_1_flow_m3h,total_pump_power_kw_lag6,0.31055008309352816
pump_1_flow_m3h,pump_1_flow_m3h_lag6,-0.1395253767626668
pump_1_flow_m3h,pump_2_flow_m3h_lag6,-0.16374681931740526
pump_1_flow_m3h,pump_3_flow_m3h_lag6,-0.1397910198496782
pump_1_flow_m3h,pump_4_flow_m3h_lag6,-0.15001840777671688
pump_1_flow_m3h,tank_level_m3_lag7,0.008628201303781113
pump_1_flow_m3h,total_pump_power_kw_lag7,-0.013131519001869246
pump_1_flow_m3h,pump_1_flow_m3h_lag7,0.03103469097244583
pump_1_flow_m3h,pump_2_flow_m3h_lag7,0.02856380271206755
pump_1_flow_m3h,pump_3_flow_m3h_lag7,-0.03971959301810324
pump_1_flow_m3h,pump_4_flow_m3h_lag7,0.026272448648920886
pump_1_flow_m3h,tank_level_m3_lag8,0.0007292301434336027
pump_1_flow_m3h,total_pump_power_kw_lag8,0.16389146237870506
pump_1_flow_m3h,pump_1_flow_m3h_lag8,-0.08226833491228061
pump_1_flow_m3h,pump_2_flow_m3h_lag8,-0.06600300257756267
pump_1_flow_m3h,pump_3_flow_m3h_lag8,-0.06433556667266996
pump_1_flow_m3h,pump_4_flow_m3h_lag8,-0.07916092945520072
pump_1_flow_m3h,tank_level_m3_lag9,0.016230298962134057
pump_1_flow_m3h,total_pump_power_kw_lag9,-0.2539553144440597
pump_1_flow_m3h,pump_1_flow_m3h_lag9,0.13438307981780384
pump_1_flow_m3h,pump_2_flow_m3h_lag9,0.13191820352551425
pump_1_flow_m3h,pump_3_flow_m3h_lag9,0.14206374814838202
pump_1_flow_m3h,pump_4_flow_m3h_lag9,0.1291299291695871
pump_1_flow_m3h,tank_level_m3_lag10,-0.004137649267005258
pump_1_flow_m3h,total_pump_power_kw_lag10,0.34949099092924935
pump_1_flow_m3h,pump_1_flow_m3h_lag10,-0.21441320385044293
pump_1_flow_m3h,pump_2_flow_m3h_lag10,-0.21748489681725475
pump_1_flow_m3h,pump_3_flow_m3h_lag10,-0.16364033393780905
pump_1_flow_m3h,pump_4_flow_m3h_lag10,-0.1901572556055935
pump_1_flow_m3h,tank_level_m3_lag11,0.012661948005676264
pump_1_flow_m3h,total_pump_power_kw_lag11,-0.034959957876577546
pump_1_flow_m3h,pump_1_flow_m3h_lag11,0.019970122860956174
pump_1_flow_m3h,pump_2_flow_m3h_lag11,0.00918049467691634
pump_1_flow_m3h,pump_3_flow_m3h_lag11,-0.011210578039156302
pump_1_flow_m3h,pump_4_flow_m3h_lag11,-0.012408997792749198
pump_1_flow_m3h,tank_level_m3_lag12,-0.01651068949879969
pump_1_flow_m3h,total_pump_power_kw_lag12,0.11323124139070953
pump_1_flow_m3h,pump_1_flow_m3h_lag12,-0.03039323993860739
pump_1_flow_m3h,pump_2_flow_m3h_lag12,-0.028520027195661213
pump_1_flow_m3h,pump_3_flow_m3h_lag12,-0.06341411293405554
pump_1_flow_m3h,pump_4_flow_m3h_lag12,-0.06477160555779096
pump_1_flow_m3h,tank_level_m3_lag13,-0.001157766818061734
pump_1_flow_m3h,total_pump_power_kw_lag13,-0.11934821043114761
pump_1_flow_m3h,pump_1_flow_m3h_lag13,0.0766448305678113
pump_1_flow_m3h,pump_2_flow_m3h_lag13,0.09729693476488821
pump_1_flow_m3h,pump_3_flow_m3h_lag13,0.08617043600225172
pump_1_flow_m3h,pump_4_flow_m3h_lag13,0.09421571036326498
pump_1_flow_m3h,tank_level_m3_lag14,-0.023407522720049145
pump_1_flow_m3h,total_pump_power_kw_lag14,0.18041993918671712
pump_1_flow_m3h,pump_1_flow_m3h_lag14,-0.05088956702898475
pump_1_flow_m3h,pump_2_flow_m3h_lag14,-0.08320692144021224
pump_1_flow_m3h,pump_3_flow_m3h_lag14,-0.03956714420389685
pump_1_flow_m3h,pump_4_flow_m3h_lag14,-0.06878598917587983
pump_1_flow_m3h,tank_level_m3_lag15,0.05105329124768626
pump_1_flow_m3h,total_pump_power_kw_lag15,0.07531242821150128
pump_1_flow_m3h,pump_1_flow_m3h_lag15,-0.05513897495587953
pump_1_flow_m3h,pump_2_flow_m3h_lag15,-0.035081827621322545
pump_1_flow_m3h,pump_3_flow_m3h_lag15,-0.056863048481617856
pump_1_flow_m3h,pump_4_flow_m3h_lag15,-0.06977940409194446
pump_1_flow_m3h,tank_level_m3_lag16,-0.02240403737182299
pump_1_flow_m3h,total_pump_power_kw_lag16,-0.11248145621029089
pump_1_flow_m3h,pump_1_flow_m3h_lag16,0.04112646067960904
pump_1_flow_m3h,pump_2_flow_m3h_lag16,0.06580205944383727
pump_1_flow_m3h,pump_3_flow_m3h_lag16,0.04686673910113246
pump_1_flow_m3h,pump_4_flow_m3h_lag16,0.06790320074946816
pump_1_flow_m3h,tank_level_m3_lag17,-0.00702619835845586
pump_1_flow_m3h,total_pump_power_kw_lag17,0.20658194021163945
