session_id,station_id,arrival,departure,energy_needed_kwh,energy_delivered_kwh,unmet_kwh,pct_met,energy_cost_eur,penalty_eur,avg_price_eur_per_kwh
166,1,2025-11-22 19:00:00,2025-11-23 05:30:00,42.0857,42.0857,0.0,100.00000000000001,3.8751547480000004,0.0,0.09207770686955427
169,1,2025-11-23 22:00:00,2025-11-24 07:30:00,33.4274,33.4274,0.0,100.0,2.3545998100000003,0.0,0.07043921483573357
172,1,2025-11-24 11:45:00,2025-11-24 14:45:00,19.7976,19.7976,0.0,100.0,0.0,0.0,0.0
173,1,2025-11-24 19:15:00,2025-11-25 01:45:00,38.6355,38.6355,0.0,100.0,4.652614815,0.0,0.12042331055635361
175,1,2025-11-25 11:30:00,2025-11-25 16:15:00,30.4308,30.4308,0.0,100.0,0.0,0.0,0.0
177,1,2025-11-25 16:30:00,2025-11-26 06:45:00,49.8822,49.8822,0.0,99.99999999999999,7.2349688059999995,0.0,0.14504109293495476
179,1,2025-11-26 17:00:00,2025-11-27 02:30:00,46.4167,46.4167,0.0,100.0,7.6786519250000005,0.0,0.16542864798660828
180,1,2025-11-27 09:00:00,2025-11-27 12:15:00,14.3468,14.3468,0.0,100.0,0.784121819,0.0,0.05465482330554549
183,1,2025-11-27 17:30:00,2025-11-28 03:15:00,63.7778,63.7778,0.0,100.0,5.611547601999999,0.0,0.08798590735334237
184,1,2025-11-28 18:30:00,2025-11-29 01:15:00,29.3622,29.3622,0.0,100.0,2.656971324,0.0,0.09048951795165212
186,1,2025-11-29 12:15:00,2025-11-29 16:00:00,16.3855,16.3855,0.0,100.0,0.47795432100000007,0.0,0.0291693461291996
190,1,2025-12-01 03:15:00,2025-12-01 06:15:00,8.6578,8.6578,0.0,100.0,0.703277354,0.0,0.08123049204185821
193,1,2025-12-01 18:00:00,2025-12-02 04:00:00,67.106,67.106,0.0,100.0,5.35415852,0.0,0.07978658421005574
196,1,2025-12-03 08:00:00,2025-12-03 09:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,1,2025-12-03 13:15:00,2025-12-03 23:00:00,64.7452,64.7452,0.0,100.0,8.842834019999998,0.0,0.13657898994828957
200,1,2025-12-04 18:15:00,2025-12-05 03:30:00,28.2541,28.2541,0.0,100.0,3.6740244350000006,0.0,0.13003508995154686
201,1,2025-12-05 07:45:00,2025-12-05 13:15:00,25.7265,25.7265,0.0,100.0,2.35063567,0.0,0.09137020853983246
202,1,2025-12-05 19:00:00,2025-12-06 01:45:00,34.7623,34.7623,0.0,100.0,3.407997729,0.0,0.09803717616498332
205,1,2025-12-06 19:30:00,2025-12-07 02:00:00,28.6556,28.6556,0.0,100.0,2.010997492,0.0,0.07017816733901926
207,1,2025-12-07 13:45:00,2025-12-07 18:15:00,22.5883,22.5883,0.0,100.0,1.399075371,0.0,0.06193805514359203
210,1,2025-12-08 15:15:00,2025-12-09 02:30:00,71.9442,71.9442,0.0,100.0,5.9383857639999995,0.0,0.08254154975661693
212,1,2025-12-09 14:45:00,2025-12-09 18:45:00,21.958,21.958,0.0,100.0,1.4539262209999997,0.0,0.06621396397668275
214,1,2025-12-10 13:00:00,2025-12-10 18:00:00,35.7043,35.7043,0.0,100.0,0.5677632900000004,0.0,0.015901818268387848
216,1,2025-12-11 01:00:00,2025-12-11 06:00:00,22.2998,22.2998,0.0,100.0,1.5604442680000001,0.0,0.06997570686732617
218,1,2025-12-11 11:30:00,2025-12-11 12:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,1,2025-12-11 17:00:00,2025-12-12 04:15:00,78.936,78.936,0.0,100.0,7.61554446,0.0,0.09647745591365156
222,1,2025-12-12 20:15:00,2025-12-13 03:30:00,44.9056,44.9056,0.0,100.00000000000001,4.299843056,0.0,0.09575293629302359
223,1,2025-12-13 20:15:00,2025-12-14 06:30:00,26.7308,26.7308,0.0,100.0,2.32197196,0.0,0.08686503808340941
224,1,2025-12-14 19:15:00,2025-12-15 05:15:00,28.6615,28.6615,0.0,100.0,2.4526297699999997,0.0,0.08557227535195296
226,1,2025-12-15 11:00:00,2025-12-15 13:30:00,3.481,3.481,0.0,100.0,0.13590081599999998,0.0,0.039040740017236425
227,1,2025-12-15 13:45:00,2025-12-15 16:45:00,15.0639,15.0639,0.0,100.0,0.8840144620000001,0.0,0.058684302338703795
228,1,2025-12-15 17:30:00,2025-12-15 20:00:00,11.6686,11.6686,0.0,100.0,1.1697316619999998,0.0,0.10024610167457963
230,1,2025-12-15 20:45:00,2025-12-16 03:30:00,36.4466,36.4466,0.0,100.0,2.978821818,0.0,0.08173113042094463
234,1,2025-12-16 18:00:00,2025-12-17 02:15:00,50.1806,50.1806,0.0,100.0,6.134807639999999,0.0,0.1222545692957039
235,1,2025-12-17 11:45:00,2025-12-17 14:00:00,5.0932,5.0932,0.0,100.0,0.0,0.0,0.0
238,1,2025-12-18 19:30:00,2025-12-19 09:00:00,62.956,62.956,0.0,100.0,2.1501745,0.0,0.03415360728127581
239,1,2025-12-19 16:00:00,2025-12-20 03:15:00,59.241,59.241,0.0,100.0,5.866132724000001,0.0,0.09902150071740856
241,1,2025-12-20 09:00:00,2025-12-20 10:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243,1,2025-12-20 19:15:00,2025-12-20 22:30:00,19.5667,19.5667,0.0,100.0,1.7699013480000003,0.0,0.09045476999187396
244,1,2025-12-21 09:00:00,2025-12-21 10:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,1,2025-12-21 11:00:00,2025-12-21 13:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,1,2025-12-21 17:00:00,2025-12-21 19:30:00,12.0123,12.0123,0.0,100.0,1.079559405,0.0,0.08987116580504982
249,1,2025-12-22 19:30:00,2025-12-23 04:45:00,35.5379,35.5379,0.0,100.0,3.1144416350000004,0.0,0.087637188325703
251,1,2025-12-23 20:00:00,2025-12-23 21:15:00,3.4937,3.4937,0.0,100.0,0.299641009,0.0,0.08576609582963621
252,1,2025-12-24 12:30:00,2025-12-25 03:00:00,75.5774,75.5774,0.0,100.0,3.5741417940000004,0.0,0.04729114515715016
255,1,2025-12-25 21:45:00,2025-12-26 05:15:00,19.1467,19.1467,0.0,100.0,1.773908567,0.0,0.09264826664647173
257,1,2025-12-27 19:30:00,2025-12-27 23:15:00,16.5547,16.5547,0.0,100.0,1.6566250009999997,0.0,0.10006976876657382
260,1,2025-12-29 02:00:00,2025-12-29 06:15:00,22.5479,22.5479,0.0,100.0,1.871583941,0.0,0.08300480049139831
262,1,2025-12-29 17:30:00,2025-12-30 05:30:00,24.2392,24.2392,0.0,100.0,2.4847599999999996,0.0,0.1025099838278491
264,1,2025-12-30 16:15:00,2025-12-30 18:45:00,6.7816,6.7816,0.0,100.0,0.6405856799999999,0.0,0.09445937241948801
266,1,2025-12-30 19:15:00,2025-12-31 08:15:00,46.7782,46.7782,0.0,100.0,4.423124241999999,0.0,0.09455524671748805
267,1,2025-12-31 14:00:00,2025-12-31 16:30:00,7.4101,7.4101,0.0,100.0,0.37339636699999995,0.0,0.050390192709949926
268,1,2025-12-31 18:30:00,2025-12-31 20:30:00,10.667,10.667,0.0,100.0,1.08942691,0.0,0.1021305812318365
10,2,2025-09-27 20:15:00,2025-09-28 00:45:00,10.6237,10.6237,0.0,100.0,1.104366901,0.0,0.1039531331833542
12,2,2025-09-28 17:00:00,2025-09-28 23:00:00,34.4766,34.4766,0.0,100.0,0.9578317899999997,0.0,0.02778208379016492
13,2,2025-09-29 03:30:00,2025-09-29 06:00:00,15.0263,15.0263,0.0,100.0,1.1981746630000003,0.0,0.07973850269194681
15,2,2025-09-29 15:15:00,2025-09-30 05:45:00,75.7663,75.7663,0.0,100.0,4.137121756999999,0.0,0.05460371902811671
18,2,2025-09-30 17:15:00,2025-10-01 06:15:00,41.5327,41.5327,0.0,99.99999999999999,4.6679755809999985,0.0,0.1123927792077086
19,2,2025-10-01 10:15:00,2025-10-01 12:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
